PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,Season
893,1,Michael Jordan,1610612741,CHI,82,3034,990,1837,0.539,29,93,0.312,571,671,0.851,118,374,492,453,223,83,202,229,2580,2682,2.24,1.1,1990
252,2,Karl Malone,1610612762,UTH,82,3302,847,1608,0.527,4,14,0.286,684,888,0.77,236,731,967,270,89,79,244,268,2382,2578,1.11,0.36,1990
121,3,Patrick Ewing,1610612752,NYK,81,3104,845,1645,0.514,0,6,0.0,464,623,0.745,194,711,905,244,80,258,291,287,2154,2391,0.84,0.28,1990
904,4,Chris Mullin,1610612744,GOS,82,3315,777,1449,0.536,40,133,0.301,513,580,0.884,141,302,443,329,173,63,245,176,2107,2131,1.34,0.71,1990
764,5,David Robinson,1610612759,SAN,82,3095,754,1366,0.552,1,7,0.143,592,777,0.762,335,728,1063,208,127,320,270,264,2101,2752,0.77,0.47,1990
1122,5,Dominique Wilkins,1610612737,ATL,81,3078,770,1640,0.47,85,249,0.341,476,574,0.829,261,471,732,265,123,65,201,156,2101,2117,1.32,0.61,1990
896,7,Tim Hardaway,1610612744,GOS,82,3215,739,1551,0.476,97,252,0.385,306,381,0.803,87,245,332,793,214,12,270,228,1881,2075,2.94,0.79,1990
397,8,Reggie Miller,1610612754,IND,82,2972,596,1164,0.512,112,322,0.348,551,600,0.918,81,200,281,331,109,13,163,165,1855,1809,2.03,0.67,1990
787,9,Charles Barkley,1610612755,PHL,67,2498,665,1167,0.57,44,155,0.284,475,658,0.722,258,422,680,284,110,33,210,173,1849,2061,1.35,0.52,1990
782,10,Mitch Richmond,1610612744,GOS,77,3027,703,1424,0.494,40,115,0.348,394,465,0.847,147,305,452,238,126,34,230,207,1840,1668,1.03,0.55,1990
77264,11,Bernard King,1610612764,WAS,64,2401,713,1511,0.472,8,37,0.216,383,485,0.79,114,205,319,292,56,16,255,187,1817,1345,1.15,0.22,1990
17,12,Clyde Drexler,1610612757,POR,82,2852,645,1338,0.482,61,191,0.319,416,524,0.794,212,334,546,493,144,60,232,226,1767,1977,2.13,0.62,1990
765,12,Hersey Hawkins,1610612755,PHL,80,3110,590,1251,0.472,108,270,0.4,479,550,0.871,48,262,310,299,178,39,213,182,1767,1648,1.4,0.84,1990
149,14,Michael Adams,1610612743,DEN,66,2346,560,1421,0.394,167,564,0.296,465,529,0.879,58,198,256,693,147,6,240,162,1752,1689,2.89,0.61,1990
134,15,Kevin Johnson,1610612756,PHX,77,2772,591,1145,0.516,9,44,0.205,519,616,0.843,54,217,271,781,163,11,269,174,1710,2016,2.9,0.61,1990
76338,16,Tony Campbell,1610612750,MIN,77,2893,652,1502,0.434,16,61,0.262,358,446,0.803,161,185,346,214,121,48,190,204,1678,1279,1.13,0.64,1990
1460,17,James Worthy,1610612747,LAL,78,3008,716,1455,0.492,26,90,0.289,212,266,0.797,107,249,356,275,104,35,127,117,1670,1520,2.17,0.82,1990
921,18,Brad Daugherty,1610612739,CLE,76,2946,605,1155,0.524,0,3,0.0,435,579,0.751,177,653,830,253,74,46,211,191,1645,1943,1.2,0.35,1990
247,19,Joe Dumars,1610612765,DET,80,3046,622,1292,0.481,14,45,0.311,371,417,0.89,62,125,187,443,89,7,189,135,1629,1450,2.34,0.47,1990
894,20,Ricky Pierce,1610612760,SEA,78,2167,561,1156,0.485,46,116,0.397,430,471,0.913,67,124,191,168,60,13,147,170,1598,1247,1.14,0.41,1990
76176,21,Rolando Blackman,1610612742,DAL,80,2965,634,1316,0.482,40,114,0.351,282,326,0.865,63,193,256,301,69,19,159,153,1590,1350,1.89,0.43,1990
156,22,Antoine Carr,1610612758,SAC,77,2527,628,1228,0.511,0,3,0.0,295,389,0.758,163,257,420,191,45,101,171,315,1551,1443,1.12,0.26,1990
77685,23,Larry Nance,1610612739,CLE,80,2927,635,1211,0.524,2,8,0.25,265,330,0.803,201,485,686,237,66,200,131,219,1537,1954,1.81,0.5,1990
77142,24,Magic Johnson,1610612747,LAL,79,2933,466,976,0.477,80,250,0.32,519,573,0.906,105,446,551,989,102,17,314,150,1531,2312,3.15,0.33,1990
157,25,Derek Harper,1610612742,DAL,77,2879,572,1226,0.467,89,246,0.362,286,391,0.731,59,174,233,548,147,14,177,222,1519,1525,3.1,0.83,1990
1472,26,Tom Chambers,1610612756,PHX,76,2475,556,1271,0.437,20,73,0.274,379,459,0.826,104,386,490,194,65,52,177,235,1511,1340,1.1,0.37,1990
78310,27,Reggie Theus,1610612751,NJN,81,2955,583,1247,0.468,52,144,0.361,292,343,0.851,69,160,229,378,85,35,252,231,1510,1270,1.5,0.34,1990
293,28,Charles Smith,1610612746,LAC,74,2703,548,1168,0.469,0,7,0.0,384,484,0.793,216,392,608,134,81,145,165,267,1480,1563,0.81,0.49,1990
77384,29,Reggie Lewis,1610612738,BOS,79,2878,598,1219,0.491,1,13,0.077,281,340,0.826,119,291,410,201,98,85,147,234,1478,1445,1.37,0.67,1990
456,30,Chuck Person,1610612754,IND,80,2566,620,1231,0.504,69,203,0.34,165,229,0.721,121,296,417,238,56,17,184,221,1474,1343,1.29,0.3,1990
895,31,Tyrone Corbin,1610612750,MIN,82,3196,587,1311,0.448,2,10,0.2,296,371,0.798,185,404,589,347,162,53,209,257,1472,1615,1.66,0.78,1990
937,32,Scottie Pippen,1610612741,CHI,82,3014,600,1153,0.52,21,68,0.309,240,340,0.706,163,432,595,511,193,93,232,270,1461,1968,2.2,0.83,1990
901,33,Otis Thorpe,1610612745,HOU,82,3039,549,988,0.556,3,7,0.429,334,480,0.696,287,559,846,197,73,20,217,278,1435,1769,0.91,0.34,1990
1489,34,Lionel Simmons,1610612758,SAC,79,2978,549,1301,0.422,3,11,0.273,320,435,0.736,193,504,697,315,113,85,230,249,1421,1534,1.37,0.49,1990
304,35,John Stockton,1610612762,UTH,82,3103,496,978,0.507,58,168,0.345,363,434,0.836,46,191,237,1164,234,16,298,233,1413,2213,3.91,0.79,1990
265,36,Harvey Grant,1610612764,WAS,77,2842,609,1224,0.498,2,15,0.133,185,249,0.743,179,378,557,204,91,61,125,232,1405,1514,1.63,0.73,1990
71,37,Pooh Richardson,1610612750,MIN,82,3154,635,1350,0.47,42,128,0.328,89,165,0.539,82,204,286,734,131,13,174,114,1401,1600,4.22,0.75,1990
137,38,Vernon Maxwell,1610612745,HOU,82,2870,504,1247,0.404,172,510,0.337,217,296,0.733,41,197,238,303,127,15,171,179,1397,1087,1.77,0.74,1990
345,39,Terry Porter,1610612757,POR,81,2665,486,944,0.515,130,313,0.415,279,339,0.823,52,230,282,649,158,12,189,151,1381,1775,3.43,0.84,1990
181,40,Kenny Smith,1610612745,HOU,78,2699,522,1003,0.52,49,135,0.363,287,340,0.844,36,127,163,554,106,11,237,131,1380,1443,2.34,0.45,1990
1365,41,Xavier McDaniel,1610612756,PHX,81,2634,590,1186,0.497,0,8,0.0,193,267,0.723,173,384,557,187,76,46,184,264,1373,1385,1.02,0.41,1990
271,42,Johnny Newman,1610612766,CHH,81,2477,478,1017,0.47,30,84,0.357,385,476,0.809,94,160,254,188,100,17,189,278,1371,1111,0.99,0.53,1990
934,43,Derrick Coleman,1610612751,NJN,74,2602,514,1100,0.467,13,38,0.342,323,442,0.731,269,490,759,163,71,99,217,217,1364,1534,0.75,0.33,1990
101,44,Scott Skiles,1610612753,ORL,79,2714,462,1039,0.445,93,228,0.408,340,377,0.902,57,213,270,660,89,4,252,192,1357,1514,2.62,0.35,1990
698,45,Eddie Johnson,1610612760,SEA,81,2085,543,1122,0.484,39,120,0.325,229,257,0.891,107,164,271,111,58,9,122,181,1354,1074,0.91,0.47,1990
428,46,Sherman Douglas,1610612748,MIA,73,2562,532,1055,0.504,4,31,0.129,284,414,0.686,78,131,209,624,121,5,270,178,1352,1388,2.31,0.45,1990
204,47,Jeff Hornacek,1610612756,PHX,80,2733,544,1051,0.518,61,146,0.418,201,224,0.897,74,247,321,409,111,16,130,185,1350,1547,3.15,0.85,1990
779,48,Glen Rice,1610612748,MIA,77,2646,550,1193,0.461,71,184,0.386,171,209,0.818,85,296,381,189,101,26,166,216,1342,1192,1.14,0.61,1990
78615,49,Orlando Woolridge,1610612743,DEN,53,1823,490,983,0.498,0,4,0.0,350,439,0.797,141,220,361,119,69,23,152,145,1330,1168,0.78,0.45,1990
96,50,Detlef Schrempf,1610612754,IND,82,2632,432,831,0.52,15,40,0.375,441,539,0.818,178,482,660,301,58,22,175,262,1320,1689,1.72,0.33,1990
251,51,Sean Elliott,1610612759,SAN,82,3044,478,976,0.49,20,64,0.313,325,402,0.808,142,314,456,238,69,33,147,190,1301,1375,1.62,0.47,1990
192,52,Dennis Scott,1610612753,ORL,82,2336,503,1183,0.425,125,334,0.374,153,204,0.75,62,173,235,134,62,25,127,203,1284,882,1.05,0.49,1990
117,53,Jeff Malone,1610612762,UTH,69,2466,525,1034,0.508,1,6,0.167,231,252,0.917,36,170,206,143,50,6,108,128,1282,1049,1.32,0.46,1990
404,53,Kevin Duckworth,1610612757,POR,81,2511,521,1084,0.481,0,2,0.0,240,311,0.772,177,354,531,89,33,34,186,251,1282,1149,0.48,0.18,1990
333,55,Kevin Gamble,1610612738,BOS,82,2706,548,933,0.587,0,7,0.0,185,227,0.815,85,182,267,256,100,34,148,237,1281,1363,1.73,0.68,1990
1450,56,Kevin McHale,1610612738,BOS,68,2067,504,912,0.553,15,37,0.405,228,275,0.829,145,335,480,126,25,146,140,194,1251,1433,0.9,0.18,1990
288,57,Armen Gilliam,1610612755,PHL,75,2644,487,1001,0.487,0,2,0.0,268,329,0.815,220,378,598,105,69,53,174,185,1242,1318,0.6,0.4,1990
78404,58,Kiki Vandeweghe,1610612752,NYK,75,2420,458,927,0.494,51,141,0.362,259,288,0.899,78,102,180,110,42,10,108,122,1226,962,1.02,0.39,1990
80,59,Ken Norman,1610612746,LAC,70,2309,520,1037,0.501,6,32,0.188,173,275,0.629,177,320,497,159,63,63,139,192,1219,1243,1.14,0.45,1990
77081,60,Jay Humphries,1610612749,MIL,80,2726,482,960,0.502,60,161,0.373,191,239,0.799,57,163,220,538,129,7,151,237,1215,1432,3.56,0.85,1990
431,61,Shawn Kemp,1610612760,SEA,81,2442,462,909,0.508,2,12,0.167,288,436,0.661,267,412,679,144,77,123,202,319,1214,1440,0.71,0.38,1990
305,62,Robert Parish,1610612738,BOS,81,2441,485,811,0.598,0,1,0.0,237,309,0.767,271,585,856,66,66,103,153,197,1207,1747,0.43,0.43,1990
76046,63,Ron Anderson,1610612755,PHL,82,2340,512,1055,0.485,9,43,0.209,165,198,0.833,103,264,367,115,65,13,100,163,1198,1082,1.15,0.65,1990
470,64,Doc Rivers,1610612737,ATL,79,2586,444,1020,0.435,88,262,0.336,221,262,0.844,47,206,253,340,148,47,125,216,1197,1243,2.72,1.18,1990
417,64,Sam Mitchell,1610612750,MIN,82,3121,445,1010,0.441,0,9,0.0,307,396,0.775,188,332,520,133,66,57,104,338,1197,1215,1.28,0.64,1990
2,66,Byron Scott,1610612747,LAL,82,2630,501,1051,0.477,71,219,0.324,118,148,0.797,54,192,246,177,95,21,85,146,1191,1065,2.08,1.12,1990
165,67,Hakeem Olajuwon,1610612745,HOU,56,2062,487,959,0.508,0,4,0.0,213,277,0.769,219,551,770,131,121,221,174,221,1187,1720,0.75,0.69,1990
187,68,Terry Cummings,1610612759,SAN,67,2195,503,1039,0.484,7,33,0.212,164,240,0.683,194,327,521,157,61,30,131,225,1177,1203,1.2,0.47,1990
1449,69,Larry Bird,1610612738,BOS,60,2277,462,1017,0.454,77,198,0.389,163,183,0.891,53,456,509,431,108,58,187,118,1164,1508,2.31,0.58,1990
330,70,Danny Manning,1610612746,LAC,73,2197,470,905,0.519,0,3,0.0,219,306,0.716,169,257,426,196,117,62,188,281,1159,1250,1.04,0.62,1990
365,71,Derrick McKey,1610612760,SEA,73,2503,438,847,0.517,4,19,0.211,235,278,0.845,172,251,423,169,91,56,158,220,1115,1244,1.07,0.58,1990
76016,72,Mark Aguirre,1610612765,DET,78,2006,420,909,0.462,24,78,0.308,240,317,0.757,134,240,374,139,47,20,128,209,1104,990,1.09,0.37,1990
